Status,Nome da obra no Brasil,Série,Lançamento brasileiro,Título original,Lançamento original,Desenvolvimento,Publicação,Lançamento em revista/jornal,Archive ID,Preservador,Link para gameplay,Screenshots,Descrição do jogo,YouTube ID,Filename base
,Seção Revista CD Expert Kids,,,,,,,,,,,,,nan,nan
OK,Dally Doo: Formas,CD Expert Kids,1999,Dally Doo You Can Too! Shapes,1996,Arc Media,,CD Expert Kids (edição especial),dally-doo-formas-cores,,https://www.youtube.com/watch?v=yp4zeGd113s,,,yp4zeGd113s,yp4zeGd113s
OK,Dally Doo: Cores,CD Expert Kids,1999,Dally Doo You Can Too! Colors,1996,Arc Media,,CD Expert Kids (edição especial),dally-doo-formas-cores,,https://www.youtube.com/watch?v=OfkZ5w8FQ1Q,,,OfkZ5w8FQ1Q,OfkZ5w8FQ1Q
OK,Dally Doo: Números,CD Expert Kids,1999,Dally Doo You Can Too! Numbers,1996,Arc Media,,CD Expert Kids (edição especial),dally-doo-numeros,,https://www.youtube.com/watch?v=KbSEN3kMJI0,,,KbSEN3kMJI0,KbSEN3kMJI0
OK,Dally Doo: Alfabeto,CD Expert Kids,1999,Dally Doo You Can Too! Alphabet,1996,Arc Media,,CD Expert Kids (edição especial),dally-doo-alfabeto-animais,hedfulkrobe,https://www.youtube.com/watch?v=yaUWHAizmRU,,,yaUWHAizmRU,yaUWHAizmRU
OK,Dally Doo: Animais,CD Expert Kids,1999,Dally Doo You Can Too! Animals,1996,Arc Media,,CD Expert Kids (edição especial),dally-doo-alfabeto-animais,hedfulkrobe,https://www.youtube.com/watch?v=24_uDaoLPSA,,,24_uDaoLPSA,24_uDaoLPSA
OK,Imaginemos!: Nosso Mundo É Um Playground,CD Expert Kids,1998,Let's Pretend: Our World is a Playground,1995,Mind Magic Productions,,CD Expert Kids nº 06,Imaginemos,,https://www.youtube.com/watch?v=OQWm6HR4KBU,,,OQWm6HR4KBU,OQWm6HR4KBU
OK,Aventuras na Ilha X,CD Expert Kids,1998,,,Xuxa Produções,CD Expert Kids,CD Expert Kids nº 07,aventuras-na-ilha-x,,https://www.youtube.com/watch?v=cTy7CgsAMFk&t=180s,,,cTy7CgsAMFk,cTy7CgsAMFk
OK,A Casa de Franklin,CD Expert Kids,1998,Franklin's Activity Center,1996,Sanctuary Woods Multimedia,,CD Expert Kids nº 08,a-casa-de-franklin,,https://www.youtube.com/watch?v=8RfkGs-vAOo,"https://vinizinho.net/figures/cdroms/screenshots/A%20Casa%20de%20Franklin%20(1998)%20-%20CD-ROM%20Completo%20PT-BR-8RfkGs-vAOo_ss1.jpg,https://vinizinho.net/figures/cdroms/screenshots/A%20Casa%20de%20Franklin%20(1998)%20-%20CD-ROM%20Completo%20PT-BR-8RfkGs-vAOo_ss2.jpg,https://vinizinho.net/figures/cdroms/screenshots/A%20Casa%20de%20Franklin%20(1998)%20-%20CD-ROM%20Completo%20PT-BR-8RfkGs-vAOo_ss3.jpg,https://vinizinho.net/figures/cdroms/screenshots/A%20Casa%20de%20Franklin%20(1998)%20-%20CD-ROM%20Completo%20PT-BR-8RfkGs-vAOo_ss4.jpg,https://vinizinho.net/figures/cdroms/screenshots/A%20Casa%20de%20Franklin%20(1998)%20-%20CD-ROM%20Completo%20PT-BR-8RfkGs-vAOo_ss5.jpg",,8RfkGs-vAOo,8RfkGs-vAOo
OK,Imaginemos! 2: O Espaço é Nosso Playground,CD Expert Kids,1998,orcu,1995,Mind Magic Productions,,CD Expert Kids nº 09,0015-imaginemos-2,,https://www.youtube.com/watch?v=6DYtHs2iiPw,,"Neste jogo, você passeará pelo sistema solar com o vagalume Flash, e encontrará atividades de todo tipo! Cada planeta tem diversas pequenas interações divertidas, com animações curiosas que irão surpreender os pequeninos.",6DYtHs2iiPw,6DYtHs2iiPw
